topology,ranks,routing,hidden,backend,tokens_per_rank,useful_bytes,median_us,job_min_us,job_max_us,n_jobs,n_trials,stored_mean_us,useful_gbytes_per_s
2n4g,8,hotspot80,256,cuda_nvshmem,16384,33554432,9313.27,9303.173333333334,9317.18,5,15,9311.994666666667,3.602862582100594
2n4g,8,hotspot80,256,oshmpi,16384,33554432,9694.800000000001,9694.48,9697.57,5,15,9695.390666666666,3.4610752155794855
2n4g,8,hotspot80,256,sycl_mpi,16384,33554432,5388.51,5378.48,5399.5633333333335,5,15,5388.646,6.227033447093909
2n4g,8,hotspot80,256,sycl_oneccl,16384,33554432,5939.696666666667,5907.14,5960.026666666667,5,15,5934.319333333333,5.649182758491034
4n4g,16,hotspot80,256,cuda_mpi,16384,33554432,15332.6,15153.233333333334,17076.9,5,15,15702.24,2.188437186126293
4n4g,16,hotspot80,256,cuda_nccl,16384,33554432,16844.466666666667,16840.3,16854.266666666666,5,15,16845.58,1.99201510288245
4n4g,16,hotspot80,256,cuda_nvshmem,16384,33554432,26971.433333333334,26962.7,26979.433333333334,5,15,26970.486666666668,1.244073000693326
4n4g,16,hotspot80,256,oshmpi,16384,33554432,27579.033333333333,27577.533333333333,27727.633333333335,5,15,27608.36,1.2166645434756598
4n4g,16,hotspot80,256,sycl_mpi,16384,33554432,15106.966666666667,15066.333333333332,15342.133333333333,5,15,15145.859999999999,2.221123058015176
4n4g,16,hotspot80,256,sycl_oneccl,16384,33554432,16913.36666666667,16909.566666666666,17059.0,5,15,16943.533333333333,1.9839002288131082
8n4g,32,hotspot80,256,cuda_mpi,16384,33554432,34027.96666666667,33910.63333333333,34623.73333333333,5,15,34163.49333333333,0.9860839564319154
8n4g,32,hotspot80,256,cuda_nccl,16384,33554432,39616.9,39555.833333333336,39767.36666666667,5,15,39629.72666666667,0.846972680850849
8n4g,32,hotspot80,256,cuda_nvshmem,16384,33554432,62006.6,61995.4,62039.13333333333,5,15,62012.426666666666,0.5411429105933885
8n4g,32,hotspot80,256,oshmpi,16384,33554432,62686.5,62684.8,62688.166666666664,5,15,62686.7,0.5352736554122498
8n4g,32,hotspot80,256,sycl_mpi,16384,33554432,33945.2,33910.700000000004,34406.36666666667,5,15,34055.653333333335,0.9884882693282114
8n4g,32,hotspot80,256,sycl_oneccl,16384,33554432,38924.1,38913.5,39013.33333333333,5,15,38938.59333333334,0.8620477287849945
