benchmark,topology,backend,bytes,on_us,off_us,off_over_on
allreduce,4n4g,cuda_mpi,1048576,200.392333,950.814,4.7447623657338225
allreduce,4n4g,cuda_mpi,2097152,301.041667,5495.06,18.25348648497884
allreduce,4n4g,cuda_mpi,4194304,492.480333,10345.4,21.006727186403197
allreduce,4n4g,cuda_mpi,8388608,855.269,20157.2,23.568257472210497
allreduce,4n4g,cuda_mpi,16777216,1574.55,42828.1667,27.200258296021087
allreduce,4n4g,sycl_mpi,4,33.9413,27.5248667,0.8109549928847747
allreduce,4n4g,sycl_mpi,8,32.3172333,27.4958667,0.8508112821650485
allreduce,4n4g,sycl_mpi,16,29.4638333,27.5257667,0.9342221841853822
allreduce,4n4g,sycl_mpi,32,30.8278,27.7008333,0.8985666606115259
allreduce,4n4g,sycl_mpi,64,31.5718333,28.3546,0.8980979891338777
allreduce,4n4g,sycl_mpi,128,31.3230333,31.4902,1.0053368618038663
allreduce,4n4g,sycl_mpi,256,32.5593667,30.8733,0.9482156174739111
allreduce,4n4g,sycl_mpi,512,36.5403667,32.2167333,0.8816751502387085
allreduce,4n4g,sycl_mpi,1024,43.4783,38.8653,0.8939010954890141
allreduce,4n4g,sycl_mpi,2048,44.0723,41.5848667,0.9435601659091992
allreduce,4n4g,sycl_mpi,4096,87.9595,42.0956667,0.4785801044799027
allreduce,4n4g,sycl_mpi,8192,93.5097667,54.1027333,0.5785784224398027
allreduce,4n4g,sycl_mpi,16384,98.0011333,67.8853,0.6926991322864631
allreduce,4n4g,sycl_mpi,32768,101.144333,82.9122333,0.8197417575535348
allreduce,4n4g,sycl_mpi,65536,105.144667,115.718333,1.1005630271290887
allreduce,4n4g,sycl_mpi,131072,114.442,175.498,1.5335104244945037
allreduce,4n4g,sycl_mpi,262144,124.814667,290.592,2.328187920414834
allreduce,4n4g,sycl_mpi,524288,146.098,501.958,3.435762296540678
allreduce,4n4g,sycl_mpi,1048576,200.102667,952.626,4.7606861731632995
allreduce,4n4g,sycl_mpi,2097152,299.151667,5433.75667,18.16388564533722
allreduce,4n4g,sycl_mpi,4194304,498.013,10467.1,21.017724436912292
allreduce,4n4g,sycl_mpi,8388608,852.163333,20163.2667,23.66126999270925
allreduce,4n4g,sycl_mpi,16777216,1571.94,42806.8333,27.231849370841125
allreduce,8n4g,cuda_mpi,4,47.9484,32.1133333,0.6697477559209484
allreduce,8n4g,cuda_mpi,8,46.5359667,31.28,0.6721682650679738
allreduce,8n4g,cuda_mpi,16,42.8689667,31.5730333,0.7365009173407484
allreduce,8n4g,cuda_mpi,32,45.5939,31.9482667,0.7007136195850762
allreduce,8n4g,cuda_mpi,64,45.6511667,33.1505667,0.7261712919157441
allreduce,8n4g,cuda_mpi,128,45.7497333,35.4968333,0.7758915897330487
allreduce,8n4g,cuda_mpi,256,46.2856,38.7548667,0.8372985701816548
allreduce,8n4g,cuda_mpi,512,50.6979,40.8090333,0.8049452403353986
allreduce,8n4g,cuda_mpi,1024,61.9125333,41.5196667,0.6706181202247785
allreduce,8n4g,cuda_mpi,2048,62.7802667,45.3753667,0.7227647967287147
allreduce,8n4g,cuda_mpi,4096,106.632,48.5381667,0.4551932506189511
allreduce,8n4g,cuda_mpi,8192,113.967333,64.4124,0.5651830073096473
allreduce,8n4g,cuda_mpi,16384,120.770667,80.4921667,0.6664877217246801
allreduce,8n4g,cuda_mpi,32768,129.598,107.213,0.827273569036559
allreduce,8n4g,cuda_mpi,65536,135.172,142.398333,1.0534602802355517
allreduce,8n4g,cuda_mpi,131072,146.292333,202.313667,1.3829410116796756
allreduce,8n4g,cuda_mpi,262144,158.403667,321.763333,2.0312871481693664
allreduce,8n4g,cuda_mpi,524288,187.515,551.685333,2.942086409087273
allreduce,8n4g,cuda_mpi,1048576,249.169667,1001.816,4.020617806580766
allreduce,8n4g,cuda_mpi,2097152,378.541333,6030.47,15.93080985954049
allreduce,8n4g,cuda_mpi,4194304,608.302,11169.5333,18.361822417154634
allreduce,8n4g,cuda_mpi,8388608,1025.34667,21317.1,20.79013920238313
allreduce,8n4g,cuda_mpi,16777216,1873.43667,45173.2667,24.112513341590564
alltoall,1n1g,cuda_mpi,4,8.06854,8.06916667,1.0000776683266117
alltoall,1n1g,cuda_mpi,8,8.03569,8.09604,1.0075102449198512
alltoall,1n1g,cuda_mpi,16,8.12318,7.99181333,0.9838281719720603
alltoall,1n1g,cuda_mpi,32,8.13218333,7.95659333,0.9784080125994896
alltoall,1n1g,cuda_mpi,64,8.09938,7.94347667,0.9807512019438525
alltoall,1n1g,cuda_mpi,128,8.09726667,7.90318333,0.9760310055343652
alltoall,1n1g,cuda_mpi,256,8.09245,7.97308667,0.9852500379983813
alltoall,1n1g,cuda_mpi,512,8.07599333,7.8926,0.9772915451380146
alltoall,1n1g,cuda_mpi,1024,8.02796667,7.79425667,0.9708880206399761
alltoall,1n1g,cuda_mpi,2048,8.20287333,8.01542333,0.9771482512945255
alltoall,1n1g,cuda_mpi,4096,8.22671667,8.03974667,0.9772728285779166
alltoall,1n1g,cuda_mpi,8192,8.21800667,8.15347333,0.9921473244557493
alltoall,1n1g,cuda_mpi,16384,8.35426667,8.20531,0.9821699885957795
alltoall,1n1g,cuda_mpi,32768,8.41762333,8.29351333,0.9852559332801603
alltoall,1n1g,cuda_mpi,65536,8.45051,8.41515667,0.9958164264642017
alltoall,1n1g,cuda_mpi,131072,8.59959333,8.53296,0.992251571970555
